ISOMAP1,ISOMAP2,Ticker,Sector,Cluster,DistanceFromCenter
93.48502436566552,-3.152942705903855,BAC-PL,,1,93.53817845327002
61.200593099558695,-1.797510242494342,WTM,Finance,2,61.22698456407618
55.76877699686034,-1.479207845846495,AGN-PA,,2,55.78839075987721
51.997804192779064,-1.3850966981043888,CABO,Consumer Services,2,52.01624874722986
42.73889932754706,-0.9527611223861113,MTD,Capital Goods,2,42.749517769052474
37.903036448459275,-0.6693792488986208,AZO,Consumer Services,2,37.90894670908291
22.788277018520024,-0.17218845848142078,SHW,Consumer Services,3,22.788927538127854
20.367851095472272,-0.07713423756348033,CMG,Consumer Services,3,20.36799715087214
20.035183000924313,-0.04688144203357837,BH,Consumer Services,3,20.03523785109959
16.61305937943685,0.15582721617780995,ESS,Consumer Services,3,16.613790177620412
