Component,Explained Variance Ratio,Cumulative Variance
1,0.9990815619658872,0.9990815619658872
2,0.0006771273282425499,0.9997586892941297
3,9.898676588567348e-05,0.9998576760600154
4,3.843033046243263e-05,0.9998961063904779
5,2.8848063018445462e-05,0.9999249544534963
6,1.4483300913859124e-05,0.9999394377544102
7,1.0752166878731528e-05,0.9999501899212889
8,8.47880099491125e-06,0.9999586687222838
9,7.019425356203528e-06,0.99996568814764
10,6.628924120595643e-06,0.9999723170717606
11,5.468011522476529e-06,0.999977785083283
12,3.8432886659262e-06,0.9999816283719489
13,2.6266174998357103e-06,0.9999842549894488
14,2.567923011496421e-06,0.9999868229124602
15,1.730497884194797e-06,0.9999885534103444
16,1.3877737883225218e-06,0.9999899411841328
17,1.2123523272378786e-06,0.99999115353646
18,1.153216108125684e-06,0.9999923067525681
19,1.123437901362722e-06,0.9999934301904695
20,1.0179834590475491e-06,0.9999944481739286
21,9.282737370015613e-07,0.9999953764476656
22,7.234428610522156e-07,0.9999960998905266
23,6.527660461783169e-07,0.9999967526565728
24,6.379385622052314e-07,0.999997390595135
25,5.756554198354425e-07,0.9999979662505549
26,5.028461014989971e-07,0.9999984690966565
27,4.6474392011029586e-07,0.9999989338405766
28,4.2197383540473013e-07,0.999999355814412
29,3.3702203458814876e-07,0.9999996928364466
30,3.0716355335248586e-07,1.0
