symbol,timetoexpiry,strike,last,bid,ask,volume,openint,curprice,histvol,implvol,bsval,log_ask,residual
CMI,111,42.5,69.4,65.9,70.5,10,0,168.029999,0.0914582087943224,8.10794527343252e-18,125.529999,4.269697449699962,3.1693270877966997
CMI,111,90.0,65.6,75.8,80.5,17,4,168.029999,0.0914582087943224,0.855982777461311,78.029999,4.400603020246817,3.051015765337438
TRV,111,60.0,57.95,62.4,63.0,23,5,122.519997,0.249850695475939,0.719711313786827,62.519997232624,4.1588830833596715,3.0280809954789296
MCO,111,80.0,44.5,59.05,60.05,10,10,139.210007,0.077246797453955,0.627846283427559,59.210007,4.111693200556713,2.8090650260760954
CI,111,120.0,61.47,65.2,68.5,215,131,186.940002,0.161549108839053,0.560464075788948,66.9400028053278,4.241326752570746,2.7615030900424893
BMY,111,25.0,38.0,37.05,40.35,50,50,63.740002,0.193233732728585,1.40171052666477,38.740002,3.7220724214697003,2.7529619241154677
DE,111,82.5,41.07,42.95,45.85,302,1,125.589996,0.124964818188025,0.702930484939369,43.089996000581,3.846951008684431,2.5496992793392748
WPZ,111,10.0,30.64,28.7,29.1,298,0,38.900002,0.116976887273383,1.36691300552308,28.900002,3.40452517175483,2.4845613977824756
SWK,20,110.0,32.66,39.9,42.8,3,0,150.970001,0.123687707175678,1.1155973239004,40.970001,3.7796338173824005,2.475372719221789
WMB,111,5.0,23.86,23.0,27.45,35,0,30.01,0.137321504251335,4.19300491402735,25.01,3.34814816057234,2.462302302105963
