,5.07,-0.8,1.8,0.36,-0.35,0.25,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx,5.07_zscore,-0.8_zscore,1.8_zscore,0.36_zscore,-0.35_zscore,0.25_zscore
0,-1.57,-0.52,0.13,-0.71,0.29,0.27,71.7,2.21,3.96,0.547223625,0.0338,0.0431,0.0484,0.041,0.010313262,0.002816667,0.0,0.0004,-0.0023,0.000329888,-0.001524392,-0.010402,-0.011579,-0.47980984562547274,-0.24926391911023082,-0.061784202745556446,-0.44250995445047503,0.005761276054885725,-0.4118690676374667
1,2.53,-1.39,-0.1,2.8,-2.01,0.29,74.01,2.23333,3.98,0.530964077,0.0345,0.0432,0.0483,0.0415,0.010279966,0.002875,0.003257329,-0.0026,0.0049,0.000503543,-0.001756359,0.034825,0.03329,0.4543427612779399,-0.5381650406582451,-0.14383244192286357,1.1691339994427683,-1.1590803377469723,-0.33617965898640595
2,-0.85,-0.88,1.75,-0.51,2.24,0.27,73.23,2.25667,4.0,0.534296221,0.0352,0.0433,0.0484,0.0414,0.006012545,0.002933333,0.0,0.0051,0.0015,0.00311016,-0.001757576,-0.004487,-0.011085,-0.31576353416926367,-0.3688092107852712,0.5161207862424327,-0.3506783901260737,0.993344383408635,-0.4118690676374667
3,1.83,-2.1,-0.02,0.03,-0.07,0.29,75.02,2.28,4.02,0.525591454,0.0352,0.0435,0.0485,0.0417,0.008954678,0.002933333,0.003246753,-0.0006,-0.0034,0.00027358,-0.001496869,0.026065,0.024651,0.29485329180662556,-0.7739349214617972,-0.11529392394814804,-0.10273316645019008,-0.17656175914888333,-0.33617965898640595
4,2.24,0.13,1.48,0.17,1.47,0.3,77.04,2.29667,4.07333,0.510606871,0.0352,0.0439,0.0483,0.0421,0.014293524,0.002933333,0.0,-0.0014,0.0087,0.000183339,-0.001727961,0.027391,0.026373,0.38826855249696685,-0.03341825358585223,0.4198032880777679,-0.03845107142310914,0.6033756692227955,-0.29833495466087545
5,1.54,0.28,2.81,-0.05,0.91,0.26,77.8,2.31333,4.12667,0.501162297,0.0353,0.0436,0.0483,0.0424,0.017407873,0.002941667,0.0,-0.0011,0.0054,7.17e-05,-0.001488416,0.017015,0.012171,0.22877908302565247,0.01639228461208129,0.8942561494074134,-0.13946579217995062,0.3197620589058214,-0.4497137719629973
6,1.41,1.23,3.4,-2.21,3.22,0.31,78.98,2.33,4.18,0.523675442,0.0354,0.0438,0.0483,0.0424,0.017783196,0.00295,0.0,0.0037,-0.0062,0.000114717,-0.001857946,0.017232,0.015814,0.19915961012383693,0.33185902653232685,1.1047277194709402,-1.131246686883485,1.4896682014633398,-0.26049025033534495
7,0.1,-1.52,-0.67,-1.27,-1.08,0.29,79.46,2.34667,4.23,0.525303107,0.0347,0.044,0.0485,0.0423,0.020767958,0.002891667,0.0,0.0047,0.004,0.000254751,-0.001983503,0.006192,0.005297,-0.09931353988676561,-0.5813341737631209,-0.3471693824927116,-0.6996383345587988,-0.6880791634705689,-0.33617965898640595
8,1.42,-0.63,1.86,-0.16,0.17,0.26,80.37,2.36333,4.28,0.51903578,0.0348,0.0441,0.0485,0.0422,0.021179272,0.0029,0.0,0.005,0.0057,0.000225772,-0.001928923,0.016815,0.01146,0.20143803111628428,-0.2857916471220487,0.5553612484576667,-0.18997315255837133,-0.055013069013037284,-0.4497137719629973
9,1.27,0.29,0.62,-0.28,-0.17,0.3,81.69,2.38,4.33,0.512206855,0.0348,0.0441,0.0485,0.0419,0.020502939,0.0029,0.003236246,0.0069,0.0048,0.000397862,-0.00198863,0.018084,0.016779,0.1672617162295741,0.01971298715861017,0.11301421984957609,-0.24507209115301218,-0.2272070467054859,-0.29833495466087545
10,1.74,0.5,0.75,0.08,1.91,0.3,83.18,2.4,4.37667,0.506360718,0.0346,0.044,0.0483,0.0421,0.021312605,0.002883333,0.003225806,0.0008,0.0052,0.000198899,-0.002237911,0.01891,0.017953,0.2743475028745994,0.0894477406357171,0.15938931155848882,-0.07977527536908974,0.8262149344718466,-0.29833495466087545
11,-1.44,0.41,0.08,0.12,0.35,0.28,81.83,2.42,4.42333,0.507942944,0.035,0.0441,0.0482,0.0423,0.020696583,0.002916667,-0.003215434,0.002,0.0037,0.000425926,-0.001872056,-0.011621,-0.016285,-0.45019037272365714,0.05956141771695698,-0.07962077647975363,-0.061408962504209484,0.036148448588847235,-0.3740243633119362
12,2.69,-0.34,1.7,-0.56,0.62,0.28,84.18,2.44,4.47,0.486537121,0.0353,0.0442,0.0482,0.0421,0.020403063,0.002941667,0.003225806,0.005,0.0021,0.000170494,-0.001953168,0.030399,0.029022,0.4907974971570975,-0.1894912732727106,0.49828421250823557,-0.37363628120717407,0.17289072499167404,-0.3740243633119362
13,0.59,0.87,1.17,-0.43,0.47,0.29,84.86,2.46,4.49667,0.487813259,0.0357,0.0442,0.0481,0.0421,0.02011571,0.002975,0.0,0.0043,0.005,0.000187051,-0.002225736,0.008745,0.007566,0.012329088743154427,0.21231373485728644,0.30921653092574525,-0.31394576439631317,0.09692279365677026,-0.33617965898640595
14,0.0,-0.15,-1.96,0.63,-0.26,0.29,84.42,2.48,4.52333,0.486503775,0.0364,0.0443,0.0481,0.0422,0.019166391,0.003033333,0.003215434,0.0017,-0.0004,0.000212882,-0.002480246,0.001598,-0.004588,-0.12209774981123908,-0.12639792488866144,-0.8073529848349993,0.1727615265230139,-0.2727878055064281,-0.33617965898640595
15,0.03,-0.69,-2.48,1.07,-1.5,0.31,84.75,2.5,4.55,0.4872273,0.0384,0.0444,0.0481,0.0423,0.023094426,0.0032,0.0,0.003,0.0088,0.000351216,-0.002380573,0.005228,0.003803,-0.11526248683389703,-0.3057158624012221,-0.9928533516706501,0.37479096803669687,-0.9007893712082994,-0.26049025033534495
16,3.54,2.44,0.12,0.91,0.1,0.28,87.56,2.51667,4.59333,0.471723191,0.0381,0.0443,0.048,0.0422,0.017902888,0.003175,0.0,0.004,0.0081,0.000165822,-0.002200744,0.034791,0.033837,0.684463281515122,0.7336640346623238,-0.06535151749239589,0.30132571657717583,-0.09046477030265905,-0.3740243633119362
