,target
0,0.0253
1,-0.0085
2,0.0183
3,0.0224
4,0.0154
5,0.0141
6,0.001
7,0.0141999999999999
8,0.0127
9,0.0174
10,-0.0144
11,0.0269
12,0.0059
13,0.0
14,0.0003
15,0.0354
16,0.0044
17,-0.0134
18,0.0311
19,-0.0077
20,-0.0550999999999999
21,0.0143
22,0.0273
23,0.0286
24,0.026
25,-0.0003
26,0.0101
27,0.0072
28,-0.0121
29,-0.0250999999999999
30,0.0214
31,-0.0566
32,-0.0144
33,-0.0163
34,-0.0791
35,-0.0106
36,0.0385999999999999
37,0.0139999999999999
38,0.0013
39,0.0815
40,0.0078
41,0.0399
42,0.0389
43,-0.0433
44,0.0241
45,0.0458
46,-0.0089
47,0.0311
48,-0.0308999999999999
49,0.0037
50,0.0305
51,-0.0406
52,-0.0375
53,0.002
54,0.0905
55,0.0227999999999999
56,0.0069
57,-0.0272
58,0.0134
59,0.0403
60,0.0042
61,0.0542999999999999
62,-0.0394
63,-0.0125
64,-0.0584
65,0.0264
66,0.0146
67,-0.001
68,-0.0718
69,-0.07
70,0.0467999999999999
71,-0.0298
72,0.0506
73,-0.0379
74,-0.0263
75,-0.081
76,0.0513
77,-0.0106
78,-0.11
79,-0.0692
80,-0.0579
81,0.0693
82,0.0449
83,0.0418
84,-0.0227999999999999
85,0.046
86,0.0572
87,0.0484
88,0.0141
89,0.0412999999999999
90,0.0315
91,-0.0398
92,-0.001
93,-0.045
94,0.0379
95,-0.0085
96,-0.0441999999999999
97,-0.0046
98,0.0871
99,0.0249
100,0.0287
101,0.0063
102,0.0029
103,0.0125
104,-0.0243
105,-0.008
106,0.0326
107,-0.0113999999999999
108,0.0052
109,0.046
110,0.0062
111,-0.0329
112,-0.0484999999999999
113,-0.013
114,-0.0567999999999999
115,-0.0294
116,-0.0157
117,0.0504999999999999
118,-0.0382
119,0.0475
120,-0.0083
121,-0.1275
122,0.0060999999999999
123,-0.0017
124,-0.0046999999999999
125,-0.0281
126,-0.0529
127,-0.0467999999999999
128,-0.0283
129,-0.0805
130,-0.0935
131,-0.1177
132,0.161
133,-0.0451
134,-0.0345
135,0.1366
136,0.0556
137,0.0266
138,0.0423
