iter	RMSE
0	6950.86518
1	6941.538857
2	6922.395456
3	6906.250781
4	6892.207961
5	6880.29233
6	6867.827242
7	6852.64833
8	6837.039704
9	6825.153637
10	6820.745033
11	6816.085282
12	6800.551708
13	6796.87982
14	6795.539006
15	6787.594604
16	6783.655995
17	6778.680591
18	6776.544993
19	6771.037597
20	6762.316345
21	6753.999311
22	6744.735252
23	6743.363821
24	6726.013785
25	6719.415292
26	6711.383513
27	6702.881708
28	6693.768885
29	6685.312806
30	6679.200997
31	6679.146971
32	6669.739768
33	6661.894714
34	6661.7932
35	6656.206571
36	6651.79469
37	6644.339386
38	6636.246355
39	6625.807816
40	6617.058173
41	6617.010875
42	6613.677152
43	6613.465972
44	6611.758058
45	6609.865697
46	6607.655092
47	6604.876389
48	6595.985885
49	6594.163009
50	6589.47488
51	6583.683264
52	6578.038672
53	6571.495673
54	6563.902603
55	6563.676454
56	6556.451805
57	6553.056792
58	6552.989487
59	6546.063201
60	6544.275014
61	6540.665643
62	6536.245718
63	6530.537632
64	6526.867429
65	6526.138462
66	6525.708072
67	6524.416187
68	6521.234329
69	6514.146318
70	6503.964735
71	6492.181186
72	6491.50884
73	6490.932693
74	6484.940027
75	6484.793698
76	6480.969217
77	6476.620231
78	6471.753004
79	6458.194462
80	6449.964027
81	6445.948935
82	6440.205952
83	6436.829874
84	6433.892648
85	6429.158872
86	6418.648553
87	6413.639831
88	6411.144405
89	6410.165677
90	6406.386902
91	6404.034894
92	6389.175958
93	6382.571295
94	6378.212762
95	6374.763457
96	6370.232268
97	6363.729823
98	6361.638375
99	6354.580189
100	6352.563022
101	6350.286249
102	6343.940571
103	6343.875506
104	6335.475035
105	6332.787709
106	6323.597212
107	6319.571454
108	6318.893764
109	6315.864248
110	6313.841901
111	6309.949777
112	6309.086121
113	6307.74784
114	6298.201302
115	6296.388534
116	6294.810252
117	6292.187946
118	6289.344441
119	6286.321143
120	6284.935911
121	6284.288369
122	6284.227503
123	6278.508297
124	6273.180759
125	6266.024714
126	6265.459422
127	6264.469678
128	6263.015776
129	6262.192675
130	6261.255664
131	6259.867799
132	6255.413584
133	6253.40176
134	6251.948231
135	6250.58474
136	6246.475725
137	6245.875136
138	6239.164852
139	6236.702223
140	6235.757479
141	6234.781591
142	6228.874439
143	6228.123195
144	6224.872982
145	6216.300847
146	6215.198831
147	6213.508995
148	6209.027883
149	6202.451649
150	6192.329614
151	6190.028283
152	6183.412825
153	6174.6355
154	6170.06762
155	6162.287694
156	6153.036347
157	6151.009718
158	6146.399533
159	6146.14762
160	6138.389189
161	6133.143522
162	6132.440014
163	6131.879129
164	6131.303347
165	6129.653117
166	6126.834104
167	6126.02824
168	6125.058411
169	6124.110565
170	6121.599429
171	6120.692035
172	6119.961019
173	6119.391359
174	6109.100386
175	6099.891526
176	6094.292427
177	6093.436804
178	6088.349208
179	6084.92635
180	6081.731559
181	6075.749957
182	6072.433094
183	6066.524597
184	6066.181036
185	6060.721161
186	6058.853774
187	6047.716164
188	6043.973103
189	6036.235866
190	6029.851124
191	6023.79128
192	6019.872096
193	6019.567948
194	6015.484005
195	6013.158531
196	6012.6013
197	6005.315403
198	5998.823612
199	5998.371494
200	5997.825751
201	5997.15603
202	5990.621475
203	5986.915361
204	5983.917295
205	5975.856388
206	5970.26375
207	5969.17551
208	5968.865217
209	5955.665785
210	5955.208557
211	5955.068498
212	5954.066687
213	5951.305508
214	5950.178828
215	5940.996241
216	5936.192152
217	5933.806576
218	5933.666983
219	5933.341288
220	5933.147284
221	5932.62317
222	5931.573021
223	5930.748744
224	5928.959077
225	5927.979101
226	5921.856817
227	5914.938202
228	5912.633478
229	5904.322049
230	5901.432336
231	5900.804698
232	5899.806655
233	5894.858456
234	5886.203526
235	5883.589333
236	5883.357642
237	5882.192097
238	5876.871952
239	5873.918087
240	5867.509073
241	5866.253989
242	5860.192672
243	5858.408463
244	5855.874998
245	5853.496719
246	5852.627515
247	5848.573503
248	5847.384538
249	5843.441082
250	5837.448915
251	5827.426944
252	5819.874743
253	5812.861811
254	5812.813144
255	5806.345224
256	5805.299656
257	5801.717652
258	5795.865916
259	5792.726265
260	5788.293472
261	5786.795864
262	5783.261593
263	5780.450448
264	5779.494259
265	5778.454321
266	5777.73535
267	5770.097348
268	5765.211682
269	5763.493385
270	5761.629087
271	5759.552197
272	5758.663886
273	5756.219448
274	5747.055232
275	5746.974233
276	5746.458484
277	5737.348505
278	5731.664665
279	5728.124851
280	5724.958558
281	5721.796884
282	5717.532403
283	5709.803883
284	5708.625587
285	5702.743388
286	5701.892947
287	5700.125645
288	5697.551877
289	5694.009061
290	5693.556124
291	5693.506492
292	5690.910109
293	5687.745517
294	5686.106723
295	5681.058152
296	5679.564574
297	5675.749582
298	5675.004606
299	5671.212706
300	5668.750206
301	5666.812095
302	5653.057634
303	5645.117527
304	5642.821938
305	5641.488293
306	5639.724472
307	5634.371253
308	5629.749388
309	5628.743185
310	5623.782294
311	5621.583923
312	5620.06975
313	5620.012673
314	5618.958199
315	5604.869194
316	5601.45387
317	5593.783654
318	5592.923083
319	5591.225104
320	5582.129336
321	5581.515257
322	5577.800268
323	5575.01634
324	5571.657423
325	5563.126775
326	5562.83535
327	5559.840324
328	5555.114417
329	5551.05975
330	5544.504485
331	5535.236508
332	5533.463914
333	5531.760129
334	5529.375875
335	5526.274973
336	5525.073646
337	5524.949145
338	5520.345598
339	5516.214142
340	5515.609133
341	5511.903729
342	5509.457204
343	5508.895691
344	5507.713182
345	5506.773011
346	5503.384409
347	5499.897651
348	5499.506803
349	5495.09481
350	5484.735593
351	5480.735158
352	5478.588995
353	5472.54171
354	5467.966653
355	5463.29914
356	5462.046275
357	5459.241701
358	5454.117619
359	5448.947801
360	5445.021639
361	5437.275375
362	5431.478921
363	5428.87991
364	5428.735324
365	5422.906912
366	5420.519447
367	5418.224766
368	5413.062401
369	5410.624861
370	5408.871799
371	5399.332216
372	5396.235113
373	5393.629468
374	5392.46642
375	5391.865942
376	5389.835032
377	5385.04671
378	5383.451261
379	5379.409345
380	5377.657993
381	5371.037018
382	5367.778029
383	5361.144318
384	5358.127969
385	5356.63883
386	5354.423463
387	5350.683968
388	5349.300671
389	5346.104131
390	5342.179627
391	5341.034704
392	5337.158665
393	5335.355704
394	5333.507041
395	5331.971075
396	5331.681473
397	5331.073736
398	5324.202094
399	5324.02475
400	5322.538472
401	5319.647975
402	5319.104419
403	5317.334355
404	5316.656263
405	5308.557643
406	5303.718273
407	5298.726206
408	5296.405732
409	5294.096247
410	5290.463541
411	5283.652949
412	5278.911264
413	5276.709287
414	5269.338826
415	5264.096715
